program	order_index	gene
external_six_gene_module	1	POSTN
external_six_gene_module	2	MXRA5
external_six_gene_module	3	PXDN
external_six_gene_module	4	MFAP4
external_six_gene_module	5	LTBP2
external_six_gene_module	6	TNC
visium_frozen_24_gene_module	1	POSTN
visium_frozen_24_gene_module	2	MXRA5
visium_frozen_24_gene_module	3	PXDN
visium_frozen_24_gene_module	4	TNC
visium_frozen_24_gene_module	5	ECM1
visium_frozen_24_gene_module	6	FBLN1
visium_frozen_24_gene_module	7	ECM2
visium_frozen_24_gene_module	8	HMCN1
visium_frozen_24_gene_module	9	CILP
visium_frozen_24_gene_module	10	LAMB1
visium_frozen_24_gene_module	11	EMILIN1
visium_frozen_24_gene_module	12	LAMA2
visium_frozen_24_gene_module	13	AEBP1
visium_frozen_24_gene_module	14	SVEP1
visium_frozen_24_gene_module	15	LAMC1
visium_frozen_24_gene_module	16	THBS2
visium_frozen_24_gene_module	17	LAMA4
visium_frozen_24_gene_module	18	FBLN2
visium_frozen_24_gene_module	19	ABI3BP
visium_frozen_24_gene_module	20	LTBP2
visium_frozen_24_gene_module	21	MFAP5
visium_frozen_24_gene_module	22	EFEMP2
visium_frozen_24_gene_module	23	VWF
visium_frozen_24_gene_module	24	COMP
score_decomposition_caf_matricellular	1	POSTN
score_decomposition_caf_matricellular	2	MXRA5
score_decomposition_caf_matricellular	3	PXDN
score_decomposition_caf_matricellular	4	TNC
score_decomposition_caf_matricellular	5	THBS2
score_decomposition_caf_matricellular	6	SPARC
score_decomposition_caf_matricellular	7	FN1
score_decomposition_caf_matricellular	8	COMP
score_decomposition_caf_matricellular	9	AEBP1
score_decomposition_caf_matricellular	10	CILP
score_decomposition_caf_matricellular	11	ECM1
score_decomposition_caf_matricellular	12	ECM2
score_decomposition_caf_matricellular	13	ABI3BP
score_decomposition_caf_matricellular	14	SPON1
score_decomposition_basement_laminin	1	LAMB1
score_decomposition_basement_laminin	2	LAMC1
score_decomposition_basement_laminin	3	LAMA2
score_decomposition_basement_laminin	4	LAMA4
score_decomposition_basement_laminin	5	HMCN1
score_decomposition_elastic_fibulin	1	FBN1
score_decomposition_elastic_fibulin	2	FBLN1
score_decomposition_elastic_fibulin	3	FBLN2
score_decomposition_elastic_fibulin	4	EFEMP2
score_decomposition_elastic_fibulin	5	EMILIN1
score_decomposition_elastic_fibulin	6	LTBP2
score_decomposition_elastic_fibulin	7	MFAP5
score_decomposition_elastic_fibulin	8	SVEP1
score_decomposition_elastic_fibulin	9	MFAP4
score_decomposition_vascular_ecm	1	VWF
