dataset	analysis_context	signature	display_name	order_index	gene	definition_type
CPTAC-PDAC	Auxiliary RNA context	checkpoint	Immune checkpoint	1	PDCD1	Reconstructed from listed genes
CPTAC-PDAC	Auxiliary RNA context	checkpoint	Immune checkpoint	2	CD274	Reconstructed from listed genes
CPTAC-PDAC	Auxiliary RNA context	checkpoint	Immune checkpoint	3	CTLA4	Reconstructed from listed genes
CPTAC-PDAC	Auxiliary RNA context	checkpoint	Immune checkpoint	4	LAG3	Reconstructed from listed genes
CPTAC-PDAC	Auxiliary RNA context	checkpoint	Immune checkpoint	5	HAVCR2	Reconstructed from listed genes
CPTAC-PDAC	Auxiliary RNA context	checkpoint	Immune checkpoint	6	TIGIT	Reconstructed from listed genes
CPTAC-PDAC	CAF subtype analysis	apCAF	Antigen-presenting CAF	1	CD74	Reconstructed from listed genes
CPTAC-PDAC	CAF subtype analysis	apCAF	Antigen-presenting CAF	2	HLA-DRA	Reconstructed from listed genes
CPTAC-PDAC	CAF subtype analysis	apCAF	Antigen-presenting CAF	3	HLA-DPA1	Reconstructed from listed genes
CPTAC-PDAC	CAF subtype analysis	apCAF	Antigen-presenting CAF	4	HLA-DPB1	Reconstructed from listed genes
CPTAC-PDAC	CAF subtype analysis	apCAF	Antigen-presenting CAF	5	HLA-DQA1	Reconstructed from listed genes
CPTAC-PDAC	CAF subtype analysis	apCAF	Antigen-presenting CAF	6	HLA-DQB1	Reconstructed from listed genes
CPTAC-PDAC	CAF subtype analysis	iCAF	Inflammatory CAF	1	IL6	Reconstructed from listed genes
CPTAC-PDAC	CAF subtype analysis	iCAF	Inflammatory CAF	2	CXCL12	Reconstructed from listed genes
CPTAC-PDAC	CAF subtype analysis	iCAF	Inflammatory CAF	3	CFD	Reconstructed from listed genes
CPTAC-PDAC	CAF subtype analysis	iCAF	Inflammatory CAF	4	HAS1	Reconstructed from listed genes
CPTAC-PDAC	CAF subtype analysis	iCAF	Inflammatory CAF	5	CXCL14	Reconstructed from listed genes
CPTAC-PDAC	CAF subtype analysis	iCAF	Inflammatory CAF	6	PDGFRA	Reconstructed from listed genes
CPTAC-PDAC	Exploratory stromal-immune composite	CAF_stroma_composite	CAF/stroma component	1	COL1A1	Reconstructed from listed genes
CPTAC-PDAC	Exploratory stromal-immune composite	CAF_stroma_composite	CAF/stroma component	2	COL1A2	Reconstructed from listed genes
CPTAC-PDAC	Exploratory stromal-immune composite	CAF_stroma_composite	CAF/stroma component	3	COL3A1	Reconstructed from listed genes
CPTAC-PDAC	Exploratory stromal-immune composite	CAF_stroma_composite	CAF/stroma component	4	DCN	Reconstructed from listed genes
CPTAC-PDAC	Exploratory stromal-immune composite	CAF_stroma_composite	CAF/stroma component	5	LUM	Reconstructed from listed genes
CPTAC-PDAC	Exploratory stromal-immune composite	CAF_stroma_composite	CAF/stroma component	6	FAP	Reconstructed from listed genes
CPTAC-PDAC	Exploratory stromal-immune composite	CAF_stroma_composite	CAF/stroma component	7	ACTA2	Reconstructed from listed genes
CPTAC-PDAC	Exploratory stromal-immune composite	CAF_stroma_composite	CAF/stroma component	8	PDGFRB	Reconstructed from listed genes
CPTAC-PDAC	Exploratory stromal-immune composite	CD8_T_cell	CD8 T cells	1	CD8A	Reconstructed from listed genes
CPTAC-PDAC	Exploratory stromal-immune composite	CD8_T_cell	CD8 T cells	2	CD8B	Reconstructed from listed genes
CPTAC-PDAC	Exploratory stromal-immune composite	CD8_T_cell	CD8 T cells	3	TRAC	Reconstructed from listed genes
CPTAC-PDAC	Exploratory stromal-immune composite	CD8_T_cell	CD8 T cells	4	CD3D	Reconstructed from listed genes
CPTAC-PDAC	Exploratory stromal-immune composite	CD8_T_cell	CD8 T cells	5	CD3E	Reconstructed from listed genes
CPTAC-PDAC	Exploratory stromal-immune composite	TAM_M2	TAM/M2	1	CD68	Reconstructed from listed genes
