signature	order_index	gene
myCAF	1	ACTA2
myCAF	2	TAGLN
myCAF	3	MYL9
myCAF	4	COL1A1
myCAF	5	COL1A2
myCAF	6	POSTN
myCAF_no_POSTN	1	ACTA2
myCAF_no_POSTN	2	TAGLN
myCAF_no_POSTN	3	MYL9
myCAF_no_POSTN	4	COL1A1
myCAF_no_POSTN	5	COL1A2
iCAF	1	IL6
iCAF	2	CXCL12
iCAF	3	CFD
iCAF	4	HAS1
iCAF	5	CXCL14
iCAF	6	PDGFRA
apCAF	1	CD74
apCAF	2	HLA-DRA
apCAF	3	HLA-DPA1
apCAF	4	HLA-DPB1
apCAF	5	HLA-DQA1
apCAF	6	HLA-DQB1
CD8_T_cell	1	CD3D
CD8_T_cell	2	CD3E
CD8_T_cell	3	CD8A
CD8_T_cell	4	CD8B
cytotoxicity	1	NKG7
cytotoxicity	2	GNLY
cytotoxicity	3	GZMB
cytotoxicity	4	PRF1
TAM_M2	1	CD68
TAM_M2	2	CD163
TAM_M2	3	MRC1
TAM_M2	4	MSR1
Treg	1	FOXP3
Treg	2	IL2RA
Treg	3	CTLA4
Treg	4	TIGIT
CAF_stroma	1	COL1A1
CAF_stroma	2	COL1A2
CAF_stroma	3	COL3A1
CAF_stroma	4	DCN
CAF_stroma	5	LUM
CAF_stroma	6	FAP
CAF_stroma	7	PDGFRB
endothelial	1	PECAM1
endothelial	2	VWF
endothelial	3	KDR
endothelial	4	EMCN
endothelial	5	RAMP2
endothelial	6	ESAM
