gene	division	category
ABI3BP	Core matrisome	ECM Glycoproteins
ADIPOQ	Core matrisome	ECM Glycoproteins
AEBP1	Core matrisome	ECM Glycoproteins
AGRN	Core matrisome	ECM Glycoproteins
AMBN	Core matrisome	ECM Glycoproteins
AMELX	Core matrisome	ECM Glycoproteins
AMELY	Core matrisome	ECM Glycoproteins
BGLAP	Core matrisome	ECM Glycoproteins
BMPER	Core matrisome	ECM Glycoproteins
BSPH1	Core matrisome	ECM Glycoproteins
C15orf44	Core matrisome	ECM Glycoproteins
C21orf29	Core matrisome	ECM Glycoproteins
C3orf50	Core matrisome	ECM Glycoproteins
C4orf31	Core matrisome	ECM Glycoproteins
C6orf27	Core matrisome	ECM Glycoproteins
C8orf84	Core matrisome	ECM Glycoproteins
CDCP2	Core matrisome	ECM Glycoproteins
CILP	Core matrisome	ECM Glycoproteins
CILP2	Core matrisome	ECM Glycoproteins
COCH	Core matrisome	ECM Glycoproteins
COLQ	Core matrisome	ECM Glycoproteins
COMP	Core matrisome	ECM Glycoproteins
CRELD1	Core matrisome	ECM Glycoproteins
CRELD2	Core matrisome	ECM Glycoproteins
CRIM1	Core matrisome	ECM Glycoproteins
CRISPLD1	Core matrisome	ECM Glycoproteins
CRISPLD2	Core matrisome	ECM Glycoproteins
CTGF	Core matrisome	ECM Glycoproteins
CTHRC1	Core matrisome	ECM Glycoproteins
CYR61	Core matrisome	ECM Glycoproteins
DDX26B	Core matrisome	ECM Glycoproteins
DMBT1	Core matrisome	ECM Glycoproteins
DMP1	Core matrisome	ECM Glycoproteins
DPT	Core matrisome	ECM Glycoproteins
DSPP	Core matrisome	ECM Glycoproteins
ECM1	Core matrisome	ECM Glycoproteins
ECM2	Core matrisome	ECM Glycoproteins
EDIL3	Core matrisome	ECM Glycoproteins
EFEMP1	Core matrisome	ECM Glycoproteins
EFEMP2	Core matrisome	ECM Glycoproteins
EGFLAM	Core matrisome	ECM Glycoproteins
ELN	Core matrisome	ECM Glycoproteins
ELSPBP1	Core matrisome	ECM Glycoproteins
EMID1	Core matrisome	ECM Glycoproteins
EMID2	Core matrisome	ECM Glycoproteins
EMILIN1	Core matrisome	ECM Glycoproteins
EMILIN2	Core matrisome	ECM Glycoproteins
EMILIN3	Core matrisome	ECM Glycoproteins
EYS	Core matrisome	ECM Glycoproteins
FBLN1	Core matrisome	ECM Glycoproteins
FBLN2	Core matrisome	ECM Glycoproteins
FBLN5	Core matrisome	ECM Glycoproteins
FBLN7	Core matrisome	ECM Glycoproteins
FBN1	Core matrisome	ECM Glycoproteins
FBN2	Core matrisome	ECM Glycoproteins
FBN3	Core matrisome	ECM Glycoproteins
FGA	Core matrisome	ECM Glycoproteins
FGB	Core matrisome	ECM Glycoproteins
FGG	Core matrisome	ECM Glycoproteins
FGL1	Core matrisome	ECM Glycoproteins
FGL2	Core matrisome	ECM Glycoproteins
FLJ46361	Core matrisome	ECM Glycoproteins
FN1	Core matrisome	ECM Glycoproteins
FNDC1	Core matrisome	ECM Glycoproteins
FNDC7	Core matrisome	ECM Glycoproteins
FNDC8	Core matrisome	ECM Glycoproteins
FRAS1	Core matrisome	ECM Glycoproteins
GAS6	Core matrisome	ECM Glycoproteins
gene_A6NLB4	Core matrisome	ECM Glycoproteins
GLDN	Core matrisome	ECM Glycoproteins
HMCN1	Core matrisome	ECM Glycoproteins
HMCN2	Core matrisome	ECM Glycoproteins
IBSP	Core matrisome	ECM Glycoproteins
IGFALS	Core matrisome	ECM Glycoproteins
IGFBP1	Core matrisome	ECM Glycoproteins
IGFBP2	Core matrisome	ECM Glycoproteins
IGFBP3	Core matrisome	ECM Glycoproteins
IGFBP4	Core matrisome	ECM Glycoproteins
IGFBP5	Core matrisome	ECM Glycoproteins
IGFBP6	Core matrisome	ECM Glycoproteins
IGFBP7	Core matrisome	ECM Glycoproteins
IGFBPL1	Core matrisome	ECM Glycoproteins
IGSF10	Core matrisome	ECM Glycoproteins
KAL1	Core matrisome	ECM Glycoproteins
KCP	Core matrisome	ECM Glycoproteins
LAMA1	Core matrisome	ECM Glycoproteins
LAMA2	Core matrisome	ECM Glycoproteins
LAMA3	Core matrisome	ECM Glycoproteins
LAMA4	Core matrisome	ECM Glycoproteins
LAMA5	Core matrisome	ECM Glycoproteins
LAMB1	Core matrisome	ECM Glycoproteins
LAMB2	Core matrisome	ECM Glycoproteins
LAMB3	Core matrisome	ECM Glycoproteins
LAMB4	Core matrisome	ECM Glycoproteins
LAMC1	Core matrisome	ECM Glycoproteins
LAMC2	Core matrisome	ECM Glycoproteins
LAMC3	Core matrisome	ECM Glycoproteins
LGI1	Core matrisome	ECM Glycoproteins
LGI2	Core matrisome	ECM Glycoproteins
LGI3	Core matrisome	ECM Glycoproteins
LGI4	Core matrisome	ECM Glycoproteins
LRG1	Core matrisome	ECM Glycoproteins
LTBP1	Core matrisome	ECM Glycoproteins
LTBP2	Core matrisome	ECM Glycoproteins
LTBP3	Core matrisome	ECM Glycoproteins
LTBP4	Core matrisome	ECM Glycoproteins
MATN1	Core matrisome	ECM Glycoproteins
MATN2	Core matrisome	ECM Glycoproteins
MATN3	Core matrisome	ECM Glycoproteins
MATN4	Core matrisome	ECM Glycoproteins
MEPE	Core matrisome	ECM Glycoproteins
MFAP1	Core matrisome	ECM Glycoproteins
MFAP2	Core matrisome	ECM Glycoproteins
MFAP3	Core matrisome	ECM Glycoproteins
MFAP4	Core matrisome	ECM Glycoproteins
MFAP5	Core matrisome	ECM Glycoproteins
MFGE8	Core matrisome	ECM Glycoproteins
MGP	Core matrisome	ECM Glycoproteins
MMRN1	Core matrisome	ECM Glycoproteins
MMRN2	Core matrisome	ECM Glycoproteins
MXRA5	Core matrisome	ECM Glycoproteins
NELL1	Core matrisome	ECM Glycoproteins
NELL2	Core matrisome	ECM Glycoproteins
NID1	Core matrisome	ECM Glycoproteins
NID2	Core matrisome	ECM Glycoproteins
NOV	Core matrisome	ECM Glycoproteins
NPNT	Core matrisome	ECM Glycoproteins
NTN1	Core matrisome	ECM Glycoproteins
NTN3	Core matrisome	ECM Glycoproteins
NTN4	Core matrisome	ECM Glycoproteins
NTN5	Core matrisome	ECM Glycoproteins
NTNG1	Core matrisome	ECM Glycoproteins
NTNG2	Core matrisome	ECM Glycoproteins
OIT3	Core matrisome	ECM Glycoproteins
OTOG	Core matrisome	ECM Glycoproteins
OTOL1	Core matrisome	ECM Glycoproteins
PAPLN	Core matrisome	ECM Glycoproteins
PCOLCE	Core matrisome	ECM Glycoproteins
PCOLCE2	Core matrisome	ECM Glycoproteins
POMZP3	Core matrisome	ECM Glycoproteins
POSTN	Core matrisome	ECM Glycoproteins
PXDN	Core matrisome	ECM Glycoproteins
PXDNL	Core matrisome	ECM Glycoproteins
RELN	Core matrisome	ECM Glycoproteins
RSPO1	Core matrisome	ECM Glycoproteins
RSPO2	Core matrisome	ECM Glycoproteins
RSPO3	Core matrisome	ECM Glycoproteins
RSPO4	Core matrisome	ECM Glycoproteins
SLIT1	Core matrisome	ECM Glycoproteins
SLIT2	Core matrisome	ECM Glycoproteins
SLIT3	Core matrisome	ECM Glycoproteins
SMOC1	Core matrisome	ECM Glycoproteins
SMOC2	Core matrisome	ECM Glycoproteins
SNED1	Core matrisome	ECM Glycoproteins
SPARC	Core matrisome	ECM Glycoproteins
SPARCL1	Core matrisome	ECM Glycoproteins
SPON1	Core matrisome	ECM Glycoproteins
SPON2	Core matrisome	ECM Glycoproteins
SPP1	Core matrisome	ECM Glycoproteins
SRPX	Core matrisome	ECM Glycoproteins
SRPX2	Core matrisome	ECM Glycoproteins
SSPO	Core matrisome	ECM Glycoproteins
SVEP1	Core matrisome	ECM Glycoproteins
TECTA	Core matrisome	ECM Glycoproteins
TECTB	Core matrisome	ECM Glycoproteins
TGFBI	Core matrisome	ECM Glycoproteins
THBS1	Core matrisome	ECM Glycoproteins
THBS2	Core matrisome	ECM Glycoproteins
THBS3	Core matrisome	ECM Glycoproteins
THBS4	Core matrisome	ECM Glycoproteins
THSD4	Core matrisome	ECM Glycoproteins
TINAG	Core matrisome	ECM Glycoproteins
TINAGL1	Core matrisome	ECM Glycoproteins
TNC	Core matrisome	ECM Glycoproteins
TNFAIP6	Core matrisome	ECM Glycoproteins
TNN	Core matrisome	ECM Glycoproteins
TNR	Core matrisome	ECM Glycoproteins
TNXA	Core matrisome	ECM Glycoproteins
TNXB	Core matrisome	ECM Glycoproteins
TSKU	Core matrisome	ECM Glycoproteins
VIT	Core matrisome	ECM Glycoproteins
VTN	Core matrisome	ECM Glycoproteins
VWA1	Core matrisome	ECM Glycoproteins
VWA2	Core matrisome	ECM Glycoproteins
VWA3A	Core matrisome	ECM Glycoproteins
VWA3B	Core matrisome	ECM Glycoproteins
VWA5A	Core matrisome	ECM Glycoproteins
VWA5B1	Core matrisome	ECM Glycoproteins
VWA5B2	Core matrisome	ECM Glycoproteins
VWCE	Core matrisome	ECM Glycoproteins
VWDE	Core matrisome	ECM Glycoproteins
VWF	Core matrisome	ECM Glycoproteins
WISP1	Core matrisome	ECM Glycoproteins
WISP2	Core matrisome	ECM Glycoproteins
WISP3	Core matrisome	ECM Glycoproteins
ZP1	Core matrisome	ECM Glycoproteins
ZP2	Core matrisome	ECM Glycoproteins
ZP3	Core matrisome	ECM Glycoproteins
ZP4	Core matrisome	ECM Glycoproteins
ZPLD1	Core matrisome	ECM Glycoproteins
-	Core matrisome	ECM Glycoproteins
COL10A1	Core matrisome	Collagens
COL11A1	Core matrisome	Collagens
COL11A2	Core matrisome	Collagens
COL12A1	Core matrisome	Collagens
COL13A1	Core matrisome	Collagens
COL14A1	Core matrisome	Collagens
COL15A1	Core matrisome	Collagens
COL16A1	Core matrisome	Collagens
COL17A1	Core matrisome	Collagens
COL18A1	Core matrisome	Collagens
COL19A1	Core matrisome	Collagens
COL1A1	Core matrisome	Collagens
COL1A2	Core matrisome	Collagens
COL20A1	Core matrisome	Collagens
COL21A1	Core matrisome	Collagens
COL22A1	Core matrisome	Collagens
COL23A1	Core matrisome	Collagens
COL24A1	Core matrisome	Collagens
